19:26:50 - Эпоха 6/20 | Батч 50/114 | Loss: 1.9299 | Accuracy: 28.12%
19:26:51 - Эпоха 6/20 | Батч 60/114 | Loss: 2.2053 | Accuracy: 25.00%
19:26:52 - Эпоха 6/20 | Батч 70/114 | Loss: 1.9569 | Accuracy: 34.38%
19:26:53 - Эпоха 6/20 | Батч 80/114 | Loss: 1.8138 | Accuracy: 28.12%
19:26:53 - Эпоха 6/20 | Батч 90/114 | Loss: 1.7736 | Accuracy: 37.50%
19:26:54 - Эпоха 6/20 | Батч 100/114 | Loss: 2.0545 | Accuracy: 31.25%
19:26:55 - Эпоха 6/20 | Батч 110/114 | Loss: 1.5789 | Accuracy: 46.88%
19:26:56 - Эпоха 6/20 | Батч 114/114 | Loss: 1.9164 | Accuracy: 41.67%
19:26:58 - Эпоха 7/20 | Батч 10/114 | Loss: 1.8277 | Accuracy: 31.25%
19:26:59 - Эпоха 7/20 | Батч 20/114 | Loss: 2.0817 | Accuracy: 31.25%
19:27:00 - Эпоха 7/20 | Батч 30/114 | Loss: 1.6131 | Accuracy: 37.50%
19:27:00 - Эпоха 7/20 | Батч 40/114 | Loss: 1.9353 | Accuracy: 37.50%
19:27:01 - Эпоха 7/20 | Батч 50/114 | Loss: 2.0084 | Accuracy: 34.38%
19:27:02 - Эпоха 7/20 | Батч 60/114 | Loss: 2.0600 | Accuracy: 34.38%
19:27:03 - Эпоха 7/20 | Батч 70/114 | Loss: 1.7841 | Accuracy: 25.00%
19:27:04 - Эпоха 7/20 | Батч 80/114 | Loss: 1.8406 | Accuracy: 28.12%
19:27:05 - Эпоха 7/20 | Батч 90/114 | Loss: 1.9598 | Accuracy: 25.00%
19:27:06 - Эпоха 7/20 | Батч 100/114 | Loss: 2.0171 | Accuracy: 37.50%
19:27:07 - Эпоха 7/20 | Батч 110/114 | Loss: 1.7826 | Accuracy: 34.38%
19:27:07 - Эпоха 7/20 | Батч 114/114 | Loss: 1.9462 | Accuracy: 37.50%
19:27:09 - Эпоха 8/20 | Батч 10/114 | Loss: 1.8421 | Accuracy: 40.62%
19:27:10 - Эпоха 8/20 | Батч 20/114 | Loss: 1.8362 | Accuracy: 31.25%
19:27:12 - Эпоха 8/20 | Батч 30/114 | Loss: 1.7910 | Accuracy: 40.62%
19:27:12 - Эпоха 8/20 | Батч 40/114 | Loss: 2.1783 | Accuracy: 25.00%
19:27:13 - Эпоха 8/20 | Батч 50/114 | Loss: 1.7912 | Accuracy: 46.88%
19:27:14 - Эпоха 8/20 | Батч 60/114 | Loss: 1.5719 | Accuracy: 40.62%
19:27:15 - Эпоха 8/20 | Батч 70/114 | Loss: 1.7799 | Accuracy: 34.38%
