epoch,train_loss,train_accuracy,val_accuracy,learning_rate,batch_loss
1,,,,1e-05,2.764176368713379
1,,,,1e-05,2.415357828140259
1,,,,1e-05,2.85190749168396
1,,,,1e-05,2.6757652759552
1,,,,1e-05,2.8712098598480225
1,,,,1e-05,2.422370672225952
1,,,,1e-05,2.6250672340393066
1,,,,1e-05,2.5788674354553223
1,,,,1e-05,2.6014249324798584
1,,,,1e-05,2.7423791885375977
1,,,,1e-05,2.6291892528533936
1,,,,1e-05,2.3564748764038086
1,,,,1e-05,2.6744699478149414
1,,,,1e-05,2.389218330383301
1,,,,1e-05,2.5562245845794678
1,,,,1e-05,2.7216484546661377
1,,,,1e-05,2.447974681854248
1,,,,1e-05,2.769388198852539
1,,,,1e-05,2.6569466590881348
1,,,,1e-05,2.6323208808898926
1,,,,1e-05,2.84932804107666
1,,,,1e-05,2.8102264404296875
1,,,,1e-05,2.4768929481506348
1,,,,1e-05,2.899648427963257
1,,,,1e-05,2.808912754058838
1,,,,1e-05,2.738942861557007
1,,,,1e-05,2.3514316082000732
1,,,,1e-05,2.559580087661743
1,,,,1e-05,2.970294952392578
1,,,,1e-05,2.8412883281707764
1,,,,1e-05,2.7606101036071777
1,,,,1e-05,2.805589437484741
1,,,,1e-05,3.079087257385254
1,,,,1e-05,2.808694839477539
1,,,,1e-05,2.7112338542938232
1,,,,1e-05,2.6502461433410645
1,,,,1e-05,2.504890203475952
1,,,,1e-05,2.5978078842163086
1,,,,1e-05,2.5561044216156006
1,,,,1e-05,2.3896288871765137
1,,,,1e-05,2.646324872970581
1,,,,1e-05,2.351179361343384
1,,,,1e-05,2.656970977783203
1,,,,1e-05,2.479526996612549
1,,,,1e-05,2.718505382537842
1,,,,1e-05,2.760162830352783
1,,,,1e-05,2.873415231704712
1,,,,1e-05,2.8264245986938477
1,,,,1e-05,2.6804540157318115
1,,,,1e-05,2.5618553161621094
1,,,,1e-05,2.734302520751953
1,,,,1e-05,2.1347341537475586
1,,,,1e-05,2.3486509323120117
1,,,,1e-05,2.681605577468872
1,,,,1e-05,2.2783100605010986
1,,,,1e-05,2.3163564205169678
1,,,,1e-05,2.798882007598877
1,,,,1e-05,2.5763096809387207
1,,,,1e-05,2.652216672897339
1,,,,1e-05,2.5738396644592285
1,,,,1e-05,2.4496047496795654
1,,,,1e-05,2.768873929977417
1,,,,1e-05,2.7502779960632324
1,,,,1e-05,2.739527702331543
1,,,,1e-05,2.355858087539673
1,,,,1e-05,2.4371719360351562
1,,,,1e-05,2.5340735912323
1,,,,1e-05,2.52591609954834
1,,,,1e-05,2.451129913330078
1,,,,1e-05,2.7721307277679443
1,,,,1e-05,2.7088851928710938
1,,,,1e-05,2.6907548904418945
1,,,,1e-05,2.6952295303344727
1,,,,1e-05,2.2079474925994873
1,,,,1e-05,2.2949726581573486
1,,,,1e-05,2.256268262863159
1,,,,1e-05,2.672743797302246
1,,,,1e-05,2.618051052093506
